candidate,election,party
George W. Bush,2000,republican
Al Gore,2000,democratic
George W. Bush,2004,republican
John Kerry,2004,democratic
Barack Obama,2008,democratic
John McCain,2008,republican
Barack Obama,2012,democratic
Mitt Romney,2012,republican
